Time_point_1,Time_point_2
481.84,855.01
445.08,30.88
193.37,98.34
26.86,292.64
92.88,95.56
388.47,57.03
930.48,314.47
150.66,220.09
7.08,32.32
205.14,110.58
101.83,89.05
416.44,227.34
238.5,45.66
316.85,17.72
914.75,111.87
94.51,316.15
135.41,405.57
617.56,731.49
282.87,102.28
61.47,530.12
417.18,561.51
121.28,685.38
215.13,13.38
58.03,769.44
413.37,175.32
145.66,258.37
31.03,161.41
282.77,730.8
364.59,32.5
327.49,116.76
681.1,751.03
448.31,369.69
172.51,937.93
83.93,117.65
904.4,152.28
115.9,460.68
300.37,80.6
905.65,238.64
29.13,319.18
467.39,118.86
414.34,284.46
130.86,253.21
291.51,315.38
79.86,87.94
1224.67,661.86
567.15,595.41
218.3,525.08
155.0,205.81
688.21,1992.43
224.5,169.68
73.49,549.73
258.43,81.95
271.27,192.47
469.11,22.35
319.63,237.12
880.61,271.51
431.72,250.91
222.17,519.71
26.72,1406.92
211.51,34.68
1175.31,225.33
141.77,334.21
69.88,123.5
503.37,272.01
430.15,20.25
116.96,163.95
683.91,692.89
582.82,344.73
376.06,162.94
203.25,477.83
388.72,557.59
89.9,618.3
317.22,377.41
390.55,148.34
664.06,1699.33
383.93,173.12
647.17,750.97
882.99,208.52
217.92,376.89
615.37,48.41
613.62,318.31
158.9,330.73
275.06,148.0
326.59,949.19
410.17,197.85
359.45,407.39
85.02,445.12
219.67,508.97
158.83,327.94
259.23,146.81
65.08,814.42
469.88,240.81
441.34,205.4
946.15,211.82
364.05,339.02
1031.48,607.14
261.16,275.31
95.6,94.53
89.76,265.85
372.48,95.54
113.2,333.31
696.48,141.63
67.48,108.94
26.38,146.41
601.26,55.49
776.22,240.09
224.32,391.62
263.38,73.42
85.02,139.62
676.84,745.07
627.02,414.99
572.76,344.51
114.73,7.63
432.85,247.16
148.19,575.42
311.8,971.07
260.95,347.0
172.78,403.2
375.5,343.79
652.28,349.42
37.55,440.65
126.38,256.5
230.59,875.4
541.89,454.16
38.07,481.12
257.21,839.36
283.53,359.77
248.64,435.32
89.58,180.01
221.27,516.92
711.21,246.39
1549.44,246.24
520.23,136.02
229.73,539.12
109.88,423.68
110.15,221.23
112.56,254.72
16.58,64.11
225.99,705.99
981.96,500.02
95.86,313.21
333.48,641.24
338.74,969.12
346.07,25.63
462.53,395.36
388.08,230.14
85.9,156.01
734.57,223.07
721.56,337.73
599.94,100.51
425.13,50.42
144.98,568.75
487.2,407.2
128.43,56.65
265.52,108.59
106.08,107.95
205.21,109.92
292.5,185.28
165.08,400.65
74.93,76.87
215.79,1231.06
128.33,309.26
598.85,171.05
200.1,99.1
194.13,392.96
458.45,118.58
492.11,61.11
425.87,283.73
216.2,416.27
105.33,397.9
214.67,461.66
433.16,424.29
197.35,1077.24
339.64,737.72
412.13,227.84
331.88,120.8
242.63,771.72
46.38,253.84
202.66,172.76
651.31,983.24
326.5,861.54
403.7,430.3
253.27,397.79
824.14,336.68
48.04,217.43
299.17,646.52
86.46,699.77
279.89,337.43
71.72,506.09
194.35,188.42
800.78,579.78
350.48,164.98
528.44,345.7
692.58,302.38
1081.61,306.74
197.55,155.51
2362.86,294.32
656.45,182.13
398.34,246.33
206.18,330.9
115.27,473.5
213.29,158.44
505.95,63.5
696.79,188.09
767.55,599.59
1291.07,351.1
179.0,280.28
411.26,372.02
1013.48,183.58
191.81,670.27
421.31,115.0
677.28,185.62
47.83,287.76
702.07,203.12
246.19,57.47
132.54,246.56
1482.92,163.89
89.98,100.4
138.59,417.05
438.26,470.59
426.39,305.25
560.7,189.88
192.2,630.25
403.29,49.31
31.61,1067.63
131.25,122.43
331.95,114.17
229.99,56.04
694.2,118.23
270.61,145.08
433.73,838.38
313.81,318.04
406.37,147.06
560.92,203.72
92.7,386.5
890.6,218.51
224.5,1131.92
1379.12,448.57
421.1,159.53
203.91,716.04
444.08,458.84
461.12,161.06
1617.17,411.49
367.49,771.47
110.22,362.49
510.84,338.29
373.35,64.63
71.22,434.11
76.11,89.23
202.68,1492.89
